Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-ACN-177301-01-4,28.96,0.0,0.0,N
LP1Y-ACN-177301-02-1,7.02,0.0,0.0,N
LP1Y-ACN-177301-02-2,29.26,0.0,0.0,N
LP1Y-ACN-177301-03-1,1.63,0.0,0.0,N
LP1Y-ACN-177302-02-1,9.48,0.0,0.0,N
LP1Y-ACN-177302-02-2,35.35,0.0,0.0,N
LP1Y-ACN-177302-03-1,0,0.0,0.0,N
LP1Y-ACN-177302-03-2,2.34,0.0,0.0,N
LP1Y-ACN-177302-03-3,3.31,0.0,0.0,N
LP1Y-ACN-177302-03-4,3.08,0.0,0.0,N
LP1Y-ACN-177302-04-1,11.03,0.0,0.0,N
LP1Y-ACN-177302-04-2,4.04,0.0,0.0,N
LP1Y-ACN-177302-05-1,0,0.0,0.0,N
LP1Y-ACN-177302-05-2,2.02,0.0,0.0,N
LP1Y-ACN-177302-05-3,0.83,0.0,0.0,N
LP1Y-ACN-177302-05-4,2.29,0.0,0.0,N
LP1Y-ACN-177302-05-5,1.58,0.0,0.0,N
LP1Y-ACN-177302-05-6,1.3,0.0,0.0,N
LP1Y-ACN-850013-04-1,23.44,0.0,0.0,N
LP1Y-ACN-850013-04-2,18.48,0.0,0.0,N
LP1Y-ACN-850013-04-3,0,0.0,0.0,N
LP1Y-ACN-850013-05-1,0,0.0,0.0,N
LP1Y-ACN-850013-05-2,1.13,0.0,0.0,N
LP1Y-ACN-850013-05-3,7.68,0.0,0.0,N
LP1Y-ACN-850013-05-4,6.04,54.0,43.2,N
LP1Y-ACN-850013-06-1,1.23,0.0,0.0,N
LP1Y-ACN-850013-06-2,24.36,0.0,0.0,N
LP1Y-ACNDMSO-010027-04-1,16.9,0.0,0.0,N
LP1Y-ACNDMSO-010027-04-2,5.09,0.0,0.0,N
LP1Y-ACNDMSO-010027-04-3,10.69,0.0,0.0,N
LP1Y-ACNDMSO-110001-01-1,7.66,0.0,0.0,N
LP1Y-ACNDMSO-110001-01-2,10.67,0.0,0.0,N
LP1Y-ACNDMSO-110001-01-3,0.83,0.0,0.0,N
LP1Y-ACNDMSO-110001-03-1,5.04,0.0,0.0,N
LP1Y-ACNDMSO-110005-01-1,11.9,0.0,0.0,N
LP1Y-ACNDMSO-110005-01-2,2.85,0.0,0.0,N
LP1Y-ACNDMSO-110005-01-3,0.83,0.0,0.0,N
LP1Y-ACNDMSO-110005-03-1,5.04,0.0,0.0,N
LP1Y-ACNDMSO-110027-01-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110027-01-2,1.04,0.0,0.0,N
LP1Y-ACNDMSO-110027-01-3,3.9,0.0,0.0,N
LP1Y-ACNDMSO-110027-01-4,3.17,0.0,0.0,N
LP1Y-ACNDMSO-110603-01-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110603-01-2,2.63,0.0,0.0,N
LP1Y-ACNDMSO-110603-01-3,9.29,0.0,0.0,N
LP1Y-ACNDMSO-110603-02-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110603-02-2,0,0.0,0.0,N
LP1Y-ACNDMSO-110603-02-3,0,0.0,0.0,N
LP1Y-ACNDMSO-110603-02-4,0,0.0,0.0,N
LP1Y-ACNDMSO-110604-03-1,6.13,0.0,0.0,N
LP1Y-ACNDMSO-110604-03-2,11.16,0.0,0.0,N
LP1Y-ACNDMSO-110604-04-1,8.91,0.0,0.0,N
LP1Y-ACNDMSO-110604-04-2,18.64,0.0,0.0,N
LP1Y-ACNDMSO-110604-05-1,10.15,0.0,0.0,N
LP1Y-ACNDMSO-110604-06-1,2.32,0.0,0.0,N
